release_year,production_companies,vote_average
1961,Walt Disney Pictures,6.3984375
1961,Twentieth Century Fox Film Corporation,6.19921875
1961,Samuel Bronston Productions,6.6015625
1961,Dear Film Produzione,6.6015625
1961,Twentieth Century Fox Film Corporation,6.6015625
1961,Achilles,6.6015625
1961,Twentieth Century Fox Film Corporation,7.30078125
1961,Rossen Films,7.30078125
1961,Metro-Goldwyn-Mayer (MGM),5.8984375
1961,Samuel Bronston Productions,5.8984375
1961,United Artists,6.19921875
1961,Seven Arts Productions,6.19921875
1961,Walt Disney Productions,6.30078125
1961,Alta Vista Productions,6.30078125
1961,Ameran Films,6.30078125
1961,Warner Bros.,5.19921875
1961,Newton Productions,5.19921875
1961,NBI Productions,5.19921875
1961,Hammer Film Productions,7.0
1961,The Mirisch Corporation,7.0
1961,Pennebaker Productions,6.1015625
1961,The Mirisch Corporation,7.5
1961,Mosfilm,5.80078125
1961,Columbia Pictures Corporation,6.0
1961,Dino de Laurentiis Cinematografica,6.0
1961,Franton Production,6.1015625
1961,Paramount Pictures,5.80078125
1961,Hal Wallis Productions,5.80078125
1961,Produzioni Atlas Consorziate (P.A.C.),5.30078125
1961,Pax Films,7.19921875
1961,Paramount Pictures,7.19921875
1961,Columbia Pictures Corporation,5.30078125
1961,Columbia Pictures Corporation,6.30078125
1962,Eon Productions,6.69921875
1962,Metro-Goldwyn-Mayer (MGM),6.69921875
1962,Horizon Pictures (II),7.5
1962,Seven Arts Productions,6.8984375
1962,Allied Artists,6.8984375
1962,Transworld Pictures,6.8984375
1962,Universal Pictures,7.69921875
1962,MC Productions,7.0
1962,Paramount Pictures,5.0
1962,Malabar,5.0
1962,Melville-Talbot Productions,7.0
1962,Metro-Goldwyn-Mayer (MGM),6.1015625
1962,Metro-Goldwyn-Mayer (MGM),6.0
1962,Arcola Pictures,6.0
1962,Paramount Pictures,7.1015625
1962,John Ford Productions,7.1015625
1962,Columbia Pictures Corporation,5.8984375
1962,Geoffrey-Kate Productions,5.8984375
1962,Woodfall Film Productions,6.69921875
1962,British Lion-Columbia Distributors,6.69921875
1962,Warner Bros.,5.3984375
1962,Hammer Film Productions,5.0
1962,Seven Arts Productions,6.80078125
1962,Warner Bros.,6.80078125
1962,"Associates & Aldrich Company, The",6.80078125
1962,Hisa-Film,6.0
1962,Norma Productions,6.3984375
1962,Cineriz,6.5
1962,Twentieth Century Fox Film Corporation,6.8984375
1962,Darryl F. Zanuck Productions,6.8984375
1962,Rex Carlton Productions,4.8984375
1962,Warner Bros.,7.0
1962,Jalem Productions,7.0
1962,Playfilm Productions,6.80078125
