release_year,director
1963,Steve Sekely
1963,Martin Ritt
1963,Tony Richardson
1963,Roger Corman
1963,John Ford
1963,Samuel Fuller
1963,Nicholas Ray
1963,Guy Green
1963,Roger Corman
1963,Francis Ford Coppola
1963,Monte Hellman
1963,Jack Hill 
1963,Jack Nicholson
1963,Louis Malle
1963,Jerry Lewis
1963,Lindsay Anderson
1963,Andrew V. McLaglen
1963,Don Chaffey
1963,Roger Corman
1963,John Schlesinger
1963,Roger Corman
1963,Joseph Losey
1963,Ralph Nelson
1963,Mark Robson
1963,Don Sharp
1963,Mario Bava
1964,Guy Hamilton
1964,Stanley Kubrick
1964,Robert Stevenson
1964,Richard Lester
1964,Larry Roemer
1964,Alfred Hitchcock
1964,George Cukor
1964,Blake Edwards
1964,Ubaldo Ragona
1964,Sidney Salkow
1964,Roger Corman
1964,George Pollock
1964,Sidney Lumet
1964,Cy Endfield
1964,Norman Jewison
1964,Gerald Thomas
1964,Arthur Lubin
1964,John Frankenheimer
1964,Arthur Penn
1964,George Sidney
1964,Samuel Fuller
1964,Terence Fisher
1964,John Frankenheimer
1964,Richard Quine
1964,Michelangelo Antonioni
1964,Mihalis Kakogiannis
1964,John Huston
1964,Don Siegel
1964,Byron Haskin
1964,Paul Henreid
1964,Bryan Forbes
1964,Roger Corman
1964,Jules Dassin
1964,Howard Hawks
1964,Ralph Nelson
1964,Billy Wilder
1964,John Ford
1964,Nathan H. Juran
1964,Gordon Douglas
1964,Arthur Hiller
1964,Peter Glenville
1964,Kenneth Anger
1964,Robert Aldrich
1964,Herschell Gordon Lewis
1965,Terence Young
1965,Robert Wise
1965,David Lean
1965,Ken Annakin
1965,Bill Melendez
1965,George Pollock
1965,Freddie Francis
1965,Otto Preminger
1965,Robert Aldrich
1965,Richard Lester
1965,Henry Hathaway
1965,Sidney J. Furie
1965,Russ Meyer
1965,Norman Jewison
1965,Clive Donner
1965,Mark Robson
1965,Michael Anderson
1965,Martin Ritt
1965,Norman Taurog
1965,Sidney Lumet
1965,Andrew V. McLaglen
1965,Anthony Mann
1965,John Schlesinger
1965,Ken Annakin
1965,Roman Polanski
1965,Freddie Francis
1965,Otto Preminger
1965,George Stevens
1965,Elliot Silverstein
1965,Carol Reed
1965,Sam Peckinpah
1965,Stanley Kramer
1965,Robert Stevenson
1965,William Castle
1965,Daniel Haller
1966,Chuck Jones
1966,Ben Washam
1966,FranÃ§ois Truffaut
1966,Mike Nichols
1966,Don Chaffey
1966,John Huston
1966,Michelangelo Antonioni
1966,Fred Zinnemann
1966,Leslie H. Martinson
1966,Alfred Hitchcock
1966,Howard Hawks
1966,Roman Polanski
1966,Billy Wilder
1966,Stanley Donen
1966,William Wyler
1966,Burt Kennedy
1966,Robert Wise
1966,Charles Walters
1966,John Guillermin
1966,Richard Brooks
1966,Bill Melendez
1966,Guy Hamilton
1966,Monte Hellman
1966,Wolfgang Reitherman
1966,Basil Dearden
1966,Eliot Elisofon
1966,Daniel Mann
1966,Gerald Thomas
1966,Terence Fisher
1966,Terence Fisher
1966,Richard Fleischer
1966,Ronald Neame
1966,Jack Smight
1966,James Hill
1966,Fielder Cook
1966,Lewis Gilbert
1966,Arthur Penn
1966,Alan Rafkin
1966,Norman Tokar
1966,Henry Hathaway
1966,Norman Jewison
1966,John Frankenheimer
1966,Gerald Thomas
1966,Bruce Brown
1966,John Frankenheimer
1966,Eldar Ryazanov
1966,Woody Allen
1966,Harold P. Warren
1967,Wolfgang Reitherman
1967,Mike Nichols
1967,Val Guest
1967,Ken Hughes
1967,John Huston
1967,Joseph McGrath
1967,Robert Parrish
1967,Lewis Gilbert
1967,Arthur Penn
1967,Luis BuÃ±uel
1967,Stuart Rosenberg
1967,Terence Young
1967,Roman Polanski
1967,Mel Brooks
1967,Ken Russell
1967,Robert Aldrich
1967,Norman Jewison
1967,Anatole Litvak
1967,James Clavell
1967,Stanley Kramer
1967,Roy Ward Baker
1967,Richard Brooks
1967,Franco Zeffirelli
1967,Gerald Thomas
1967,Richard Fleischer
1967,Martin Ritt
1967,Mark Robson
1967,Gene Saks
1967,Stanley Donen
1967,John Boorman
1967,Burt Kennedy
1967,Charles Chaplin
1967,Jack Hill 
1967,Bart Patton
1967,Jun Fukuda
1967,Stanley Donen
1967,D.A. Pennebaker
1967,Robert Stevenson
1967,George Roy Hill
1967,Terence Fisher
1967,Martin Scorsese
1967,Gerald Thomas
1967,Gordon Douglas
1968,Stanley Kubrick
1968,Franklin J. Schaffner
1968,George A. Romero
1968,Richard Fleischer
1968,Roger Vadim
1968,Peter Yates
1968,Robert Stevenson
1968,Anthony Harvey
1968,Roman Polanski
1968,George Dunning
1968,Carol Reed
1968,Ted Post
1968,Brian G. Hutton
1968,Blake Edwards
1968,Norman Jewison
1968,Gene Saks
1968,Franco Zeffirelli
1968,Terence Fisher
1968,John Wayne
1968,Ken Hughes
1968,Frank Perry
1968,Sydney Pollack
1968,Robert Stevenson
1968,Noel Black
1968,William Wyler
1968,Lindsay Anderson
1968,"Arthur Rankin, Jr."
1968,Jules Bass
1968,John Cassavetes
1968,John Boorman
1968,Melville Shavelson
1968,Andrew V. McLaglen
1968,Andrew V. McLaglen
1968,Michael Reeves
1968,Don Siegel
1968,Gerald Thomas
1968,John Sturges
1968,Bob Rafelson
1968,Ralph Nelson
1968,David Lynch
1969,Peter R. Hunt
1969,George Roy Hill
1969,Dennis Hopper
1969,John Schlesinger
1969,Sam Peckinpah
1969,Woody Allen
1969,Guy Hamilton
1969,Alfred Hitchcock
1969,Jules Bass
1969,"Arthur Rankin, Jr."
1969,Sydney Pollack
1969,Joshua Logan
1969,Gene Kelly
1969,Ken Loach
1969,J. Lee Thompson
1969,Bill Melendez
1969,Robert Butler
1969,Henry Hathaway
1969,Gene Saks
1969,Ken Russell
1969,Jim O'Connolly
1969,Burt Kennedy
1969,John Guillermin
1969,Gerald Thomas
1969,Sydney Pollack
1969,Arthur Allan Seidelman
1969,Gordon Hessler
1969,Ronald Neame
1969,Robert Parrish
1969,Michael Ritchie
1969,Gerald Thomas
1970,Wolfgang Reitherman
1970,Ted Post
1970,Robert Altman
1970,Brian G. Hutton
1970,Peter Sasdy
1970,Franklin J. Schaffner
1970,Arthur Hiller
1970,David Lean
1970,Richard Fleischer
1970,Kinji Fukasaku
1970,Toshio Masuda
1970,Russ Meyer
1970,Don Siegel
1970,George Seaton
1970,Michelangelo Antonioni
1970,Gordon Hessler
1970,Jules Bass
1970,"Arthur Rankin, Jr."
1970,Mike Nichols
1970,Arthur Penn
1970,Joseph Sargent
1970,Ralph Nelson
1970,Mel Brooks
1970,Ronald Neame
1970,JesÃºs Franco
1970,Nicolas Roeg
1970,Donald Cammell
1970,Bob Rafelson
1970,Herschell Gordon Lewis
1970,Michael Wadleigh
1970,Sam Peckinpah
1970,Gerald Thomas
1970,Elliot Silverstein
1970,Albert Maysles
1970,Charlotte Zwerin
1970,David Maysles
1970,Andrew V. McLaglen
1970,Michael Lindsay-Hogg
1970,Howard Hawks
1970,Jerzy Skolimowski
1970,Billy Wilder
1970,Sergey Bondarchuk
1970,Roy Ward Baker
1970,Robert Fuest
1970,Basil Dearden
1970,Joseph L. Mankiewicz
1971,Stanley Kubrick
1971,Mel Stuart
1971,Guy Hamilton
1971,Robert Mulligan
1971,Don Siegel
1971,Don Taylor
1971,Sam Peckinpah
1971,Boris Sagal
1971,Robert Stevenson
1971,George Lucas
1971,Hal Ashby
1971,William Friedkin
1971,Clint Eastwood
1971,Ian MacNaughton
1971,Burt Kennedy
1971,Jerry Schatzberg
1971,Steven Spielberg
1971,Mike Hodges
1971,Woody Allen
1971,Ted Kotcheff
1971,Roman Polanski
1971,Robert Wise
1971,George Sherman
1971,Monte Hellman
1971,Nicolas Roeg
1971,Gordon Parks
1971,Sergio Leone
1971,Norman Jewison
1971,Peter Bogdanovich
1971,Richard C. Sarafian
1971,Robert Altman
1971,Peter Duffell
1971,Sidney Lumet
1971,John Schlesinger
1971,Alan J. Pakula
1971,Dalton Trumbo
1971,Lee H. Katzin
1971,Don Siegel
1971,Peter Sasdy
1971,Buzz Kulik
1971,Richard C. Sarafian
1971,Peter Watkins
1971,Elaine May
1971,John Hough
1971,Giuliano Montaldo
1971,Mike Nichols
1971,Norman Cohen
1971,Peter Sasdy
1971,Franklin J. Schaffner
1971,Richard Fleischer
1971,Robert Fuest
1971,Ken Russell
1971,Joseph Losey
1971,Harry KÃ¼mel
1971,Arthur Hiller
1972,Francis Ford Coppola
1972,John Boorman
1972,J. Lee Thompson
1972,Bob Fosse
1972,Alfred Hitchcock
1972,John Sturges
1972,Douglas Trumbull
1972,George Roy Hill
1972,John Waters
1972,Woody Allen
1972,Eugenio MartÃ­n
1972,Wes Craven
1972,Peter Bogdanovich
1972,Sydney Pollack
1972,Michael Winner
1972,Ronald Neame
1972,Irwin Allen
1972,Michael Winner
1972,Joseph L. Mankiewicz
1972,Mark Rydell
1972,Sam Peckinpah
1972,Robert Butler
1972,Freddie Francis
1972,Herbert Ross
1972,Martin Scorsese
1972,Adrian Maben
1972,Gerald Thomas
1972,Billy Wilder
1972,Ralph Bakshi
1972,Michael Ritchie
1972,Barry Shear
1972,Bill Melendez
1972,John Huston
1972,Robert Mulligan
1972,Roy Ward Baker
1972,William Crain
1972,Fernando Di Leo
1972,Gerald Thomas
1972,William F. Claxton
1972,Robert Fuest
1972,John Huston
1973,Wolfgang Reitherman
1973,William Friedkin
1973,Guy Hamilton
1973,Martin Scorsese
1973,Robert Clouse
1973,Michael Crichton
1973,J. Lee Thompson
1973,Nicolas Roeg
1973,George Roy Hill
1973,Ted Post
1973,Clint Eastwood
1973,Fred Zinnemann
1973,Clint Eastwood
1973,George Lucas
1973,Richard Fleischer
1973,Franklin J. Schaffner
1973,Woody Allen
1973,Norman Jewison
1973,Sidney Lumet
1973,Don Siegel
1973,Peter Bogdanovich
1973,Richard Lester
1973,Robert Altman
1973,Sam Peckinpah
1973,Gordon Hessler
1973,John Hough
1973,Hal Ashby
1973,Charles A. Nichols
1973,Iwao Takamoto
1973,Andrew V. McLaglen
1973,Terrence Malick
1973,Jack Hill 
1973,Roy Ward Baker
1973,Brian De Palma
1973,Burt Kennedy
1973,Bill Melendez
1973,Phil Roman
1973,Phil Karlson
1973,Terence Fisher
1973,Alejandro Jodorowsky
1973,James William Guercio
1973,Peter Yates
1973,Sydney Pollack
1973,Orson Welles
1973,Sidney Lumet
1973,Alan Gibson
1973,Bernard L. Kowalski
1973,Willard Huyck
1973,Gloria Katz
1973,John Newland
1973,Philip D'Antoni
1973,Jerry Schatzberg
1973,Robin Hardy
1973,Paul Morrissey
1973,George A. Romero
1973,Herbert Ross
1973,Douglas Hickox
1973,John Milius
1974,Francis Ford Coppola
1974,Roman Polanski
1974,Guy Hamilton
1974,Mel Brooks
1974,Tobe Hooper
1974,John Carpenter
1974,Francis Ford Coppola
1974,Robert Stevenson
1974,Sidney Lumet
1974,Mel Brooks
1974,Richard Lester
1974,Jack Smight
1974,Steven Spielberg
1974,Liliana Cavani
1974,Jack Clayton
1974,Jack Hill 
1974,Jeff Gillen
1974,Alan Ormsby
1974,Bob Clark
1974,Michael Cimino
1974,John Waters
1974,Brian De Palma
1974,Joseph Sargent
1974,Martin Scorsese
1974,Michael Winner
1974,Alan J. Pakula
1974,Billy Wilder
1974,Larry Cohen
1974,John Guillermin
1974,H.B. Halicki
1974,Steve Peterson
1974,John Boorman
1974,Jules Bass
1974,"Arthur Rankin, Jr."
1974,Sam Peckinpah
1974,Mark Robson
1974,Robert Aldrich
1974,Saul Bass
1974,Jamie Uys
1974,Ronald Neame
1974,David Greene
1974,Bob Fosse
1974,Jim Clark
1974,John Cassavetes
1974,Michael Benveniste
1974,Howard Ziehm
1974,Brian Clemens
1974,Norman Tokar
1974,Joe Camp
1974,Peter Davis
1975,MiloÅ¡ Forman
1975,Steven Spielberg
1975,Terry Gilliam
1975,Terry Jones
1975,Jim Sharman
1975,Stanley Kubrick
1975,Blake Edwards
1975,John Huston
1975,Just Jaeckin
1975,Sydney Pollack
1975,Don Edmonds
1975,L.Q. Jones
1975,Paul Bartel
1975,Woody Allen
1975,John Hough
1975,Louis Malle
1975,Peter Weir
1975,John Frankenheimer
1975,Walter Hill
1975,Russ Meyer
1975,Ken Russell
1975,Tom Gries
1975,Robert Altman
1975,Bryan Forbes
1975,Kevin Connor
1975,Gene Wilder
1975,Sidney Lumet
1975,Clint Eastwood
1975,David Cronenberg
1975,Jeannot Szwarc
1975,Herbert Ross
1975,Norman Jewison
1975,Robert Wise
1975,Michelangelo Antonioni
1975,Hal Ashby
1975,John Milius
1975,Stuart Millar
1975,Jack Starrett
1975,Norman Tokar
1975,Ellen Hovde
1975,Muffie Meyer
1975,Albert Maysles
1975,David Maysles
1975,Arthur Penn
1975,Dan Curtis
1975,Robert Clouse
1975,Jack Arnold
1975,Ralph Bakshi
1976,Martin Scorsese
1976,John G. Avildsen
1976,Brian De Palma
1976,Richard Donner
1976,Michael Anderson
1976,John Guillermin
1976,Alan J. Pakula
1976,James Fargo
1976,Alfred Hitchcock
1976,Clint Eastwood
1976,John Schlesinger
1976,Bob Rafelson
1976,Sidney Lumet
1976,John Sturges
1976,Russ Meyer
1976,Robert Moore
1976,Arthur Hiller
1976,John Carpenter
1976,Blake Edwards
1976,Richard T. Heffron
1976,Don Siegel
1976,George P. Cosmatos
1976,John Cassavetes
1976,Arthur Penn
1976,Gary Nelson
1976,Randal Kleiser
1976,Nicolas Roeg
1976,Nicolas Gessner
1976,Alfred Sole
1976,Larry Peerce
1976,Brian De Palma
1976,Richard Lester
1976,Alan Parker
1976,Mel Brooks
1976,Dan Curtis
1976,Frank Pierson
1976,Jeff Lieberman
1976,Jack Smight
1976,Martin Ritt
1976,Paul Bartel
1976,Peter Clifton
1976,Joe Massot
1976,Michael Schultz
1976,Nico Mastorakis
1976,Jimmy Wang Yu
1976,Bert I. Gordon
1976,Michael Ritchie
1976,Charles B. Pierce
1977,George Lucas
1977,Lewis Gilbert
1977,John Lounsbery
1977,Wolfgang Reitherman
1977,Art Stevens
1977,Woody Allen
1977,Don Chaffey
1977,Steven Spielberg
1977,Richard Attenborough
1977,John Lounsbery
1977,Wolfgang Reitherman
1977,Vincent McEveety
1977,Sam Wanamaker
1977,Dick Richards
1977,John Badham
1977,Mel Brooks
1977,Hal Needham
1977,George Butler
1977,Robert Fiore
1977,Clint Eastwood
1977,Sam Peckinpah
1977,Martin Scorsese
1977,George Roy Hill
1977,Ridley Scott
1977,Fred Zinnemann
1977,Robert Wise
1977,John Boorman
1977,Jerry Jameson
1977,Terry Gilliam
1977,David Lynch
1977,John Flynn
1977,Moustapha Akkad
1977,Jules Bass
1977,"Arthur Rankin, Jr."
1977,Mike Newell
1977,John Frankenheimer
1977,Norman Tokar
1977,Ingmar Bergman
1977,J. Lee Thompson
1977,Michael Anderson
1977,William Friedkin
1977,Peter Weir
1977,Carl Reiner
1977,Robert Altman
1977,John 'Bud' Cardos
1977,Elliot Silverstein
1977,Ralph Bakshi
1977,James Goldstone
1977,Wes Craven
1977,Donald Cammell
1977,John Landis
1977,Don Taylor
1977,George A. Romero
1977,Peter Yates
1977,Bert I. Gordon
1977,William Girdler
1977,Michael Winner
1977,Herbert Ross
1977,John Cassavetes
1977,David Cronenberg
1977,Ken Wiederhorn
1978,Randal Kleiser
1978,Jeannot Szwarc
1978,George A. Romero
1978,Richard Donner
1978,John Carpenter
1978,John Landis
1978,Blake Edwards
1978,Michael Cimino
1978,Walter Hill
1978,Lou Adler
1978,Terrence Malick
1978,Sylvester Stallone
1978,Robert Clouse
1978,Steve Binder
1978,Louis Malle
1978,Alan Parker
1978,Ralph Bakshi
1978,Peter Hyams
1978,Colin Higgins
1978,Michael Crichton
1978,John Guillermin
1978,Daryl Duke
1978,Norman Jewison
1978,Guy Hamilton
1978,Sam Peckinpah
1978,Philip Kaufman
1978,Joe Dante
1978,Andrew V. McLaglen
1978,Luigi Cozzi
1978,Meir Zarchi
1978,James Fargo
1978,Steve Rash
1978,John Hough
1978,Sidney Lumet
1978,Richard Attenborough
1978,Robert Zemeckis
1978,Don Taylor
1978,Mike Hodges
1978,John Alan Schwartz
1978,Martin Rosen
1978,Jack Nicholson
1978,Richard A. Colla
1978,Alan J. Levi
1978,Irwin Allen
1978,Paul Schrader
1978,Warren Beatty
1978,Buck Henry
1978,Richard Franklin
1978,John Milius
1978,Brian De Palma
1978,Billy Wilder
1978,Irvin Kershner
1978,Woody Allen
1978,Franklin J. Schaffner
1978,Errol Morris
1978,Jack Gold
1978,William Girdler
1978,John Carpenter
1978,John De Bello
1978,Chang Cheh
1978,David Greene
1978,Gordon Hessler
1978,Norman Tokar
1978,Hal Ashby
1978,Eric Idle
1978,Gary Weis
1978,Martin Scorsese
1978,Colin Eggleston
1978,Hal Needham
1979,Ridley Scott
1979,Francis Ford Coppola
1979,George Miller
1979,Robert Wise
1979,Lewis Gilbert
1979,Terry Jones
1979,Russ Meyer
1979,Walter Hill
1979,Sylvester Stallone
1979,Tinto Brass
1979,Woody Allen
1979,Don Coscarelli
1979,MiloÅ¡ Forman
1979,Stuart Rosenberg
1979,Don Siegel
1979,Bob Fosse
1979,Werner Herzog
1979,Gary Nelson
1979,Hal Ashby
1979,Ivan Reitman
1979,Hal Needham
1979,Tobe Hooper
1979,David Lowell Rich
1979,Robert Benton
1979,James Bridges
1979,Carl Reiner
1979,Steven Spielberg
1979,Norman Jewison
1979,Nicholas Meyer
1979,Peter Yates
1979,Franc Roddam
1979,Roman Polanski
1979,Robert Aldrich
1979,Michael Crichton
1979,Blake Edwards
1979,Carroll Ballard
1979,Sydney Pollack
1979,Chuck Jones
1979,Delbert Mann
1979,Vincent McEveety
1979,Ronald Neame
1979,Alan Clarke
1979,Paul Schrader
1979,Peter Hyams
1979,Stan Dragoti
1979,David Cronenberg
1979,Giulio Paradisi
1979,Jeff Margolis
1979,Fred Walton
1979,Harold Becker
1979,Philip Kaufman
1979,Jonathan Kaplan
1979,David Schmoeller
1979,Allan Arkush
1979,Martin Ritt
1979,John Badham
1979,Franco Zeffirelli
1980,Irvin Kershner
1980,Stanley Kubrick
1980,Jim Abrahams
1980,David Zucker
1980,Jerry Zucker
1980,John Landis
1980,Randal Kleiser
1980,Martin Scorsese
1980,Richard Lester
1980,Sean S. Cunningham
1980,Alan Parker
1980,Mike Hodges
1980,David Lynch
1980,Tommy Chong
1980,Hal Needham
1980,Howard Zieff
1980,Jamie Uys
1980,John Carpenter
1980,Jack Gold
1980,Harold Ramis
1980,Brian De Palma
1980,Robert Zemeckis
1980,Dario Argento
1980,Sidney Poitier
1980,Clint Eastwood
1980,Michael Cimino
1980,Roger Spottiswoode
1980,Robert Clouse
1980,Don Taylor
1980,Jim Jarmusch
1980,Jeannot Szwarc
1980,Robert Altman
1980,Vincent McEveety
1980,Buddy Van Horn
1980,John Mackenzie
1980,John Irvin
1980,Ken Russell
1980,James Bridges
1980,James Glickenhaus
1980,Guy Hamilton
1980,Samuel Fuller
1980,Paul Schrader
1980,William Friedkin
1980,Lewis Teague
1980,Colin Higgins
1980,Louis Malle
1980,Jackie Chan
1980,Robert Redford
1980,Woody Allen
1980,William Wiard
1980,Tony Bill
1980,Nicolas Roeg
1980,Stanley Donen
1980,Robert Houston
1980,Paul Lynch
1980,Jerry London
1980,Bruce Beresford
1980,Clive Donner
1980,Stuart Rosenberg
1980,William Peter Blatty
1980,Jimmy T. Murakami
1980,Jay Sandrich
1980,Michael Apted
1980,Robert Greenwald
1980,Walter Hill
1980,William Lustig
1980,Barbara Peeters
1980,John Hough
1980,Buzz Kulik
1980,Art Linson
1980,Alvin Rakoff
1980,Eric Karson
1980,Adrian Lyne
1980,Richard Elfman
1980,Peter Medak
1980,Mike Newell
1980,John Cassavetes
1980,Ronald Neame
1980,Richard Rush
1980,Kevin Connor
1981,Steven Spielberg
1981,Alan Myerson
1981,John Glen
1981,Ted Berman
1981,Art Stevens
1981,Richard Rich
1981,George Miller
1981,Mel Brooks
1981,John Landis
1981,Gerald Potterton
1981,Sam Raimi
1981,John Carpenter
1981,John Boorman
1981,Mark Rydell
1981,Hugh Hudson
1981,Steve Miner
1981,Walter Hill
1981,Peter Weir
1981,Rick Rosenthal
1981,Bob Rafelson
1981,Steve Gordon
1981,Richard Franklin
1981,Franco Zeffirelli
1981,Bob Clark
1981,Warren Beatty
1981,Hal Needham
1981,Sydney Pollack
1981,Terry Gilliam
1981,David Cronenberg
1981,John Huston
1981,Michael Mann
1981,James Cameron
1981,Ivan Reitman
1981,Peter Hyams
1981,Georges Lautner
1981,Graham Baker
1981,Gary Sherman
1981,Brian De Palma
1981,Saul Swimmer
1981,Peter R. Hunt
1981,Claude Miller
1981,MiloÅ¡ Forman
1981,Matthew Robbins
1981,Tommy Chong
1981,Karel Reisz
1981,Joe Dante
1981,Bruce Malmuth
1981,Louis Malle
1981,Harold Becker
1981,Abel Ferrara
1981,Richard Marquand
1981,Umberto Lenzi
1981,Desmond Davis
1981,Moustapha Akkad
1981,Jim Henson
1981,Ivan Passer
1981,Burt Reynolds
1981,Mickey Rose
1981,Michael Ritchie
1981,Bruce D. Clark
1981,Charles Jarrott
1981,John Irvin
1981,Tony Maylam
1981,J. Lee Thompson
1981,Tobe Hooper
1981,Carlo Verdone
1981,Michael Crichton
1981,Carl Gottlieb
1981,Tom DeSimone
1981,George Mihalka
1981,Frank Perry
1981,Michael Wadleigh
1981,John G. Avildsen
1981,Frank De Felitta
1981,Ralph Bakshi
1981,Penelope Spheeris
1981,Bill Forsyth
1981,Ed Hunt
1981,Joel Schumacher
1981,Michael Apted
1981,Errol Morris
1981,Joseph Zito
1981,Menahem Golan
1981,Sidney Lumet
1981,Alan J.W. Bell
1982,Ridley Scott
1982,Steven Spielberg
1982,John Carpenter
1982,Ted Kotcheff
1982,Paul Schrader
1982,Steven Lisberger
1982,Sylvester Stallone
1982,Tobe Hooper
1982,John Milius
1982,Walter Hill
1982,Nicholas Meyer
1982,Amy Heckerling
1982,Guy Hamilton
1982,Jim Henson
1982,Frank Oz
1982,Alan Parker
1982,Richard Attenborough
1982,Sydney Pollack
1982,Ken Finkleman
1982,Martin Scorsese
1982,Ron Howard
1982,Blake Edwards
1982,Carl Reiner
1982,Wes Craven
1982,Don Bluth
1982,Dianne Jackson
1982,Jimmy T. Murakami
1982,Jules Bass
1982,"Arthur Rankin, Jr."
1982,Taylor Hackford
1982,Dario Argento
1982,Alan J. Pakula
1982,Woody Allen
1982,Patricia Birch
1982,George A. Romero
1982,John Huston
1982,Godfrey Reggio
1982,Costa-Gavras
1982,Tim Burton
1982,George Roy Hill
1982,Albert Pyun
1982,Sidney J. Furie
1982,Clint Eastwood
1982,Peter Weir
1982,Richard Donner
1982,Steve Miner
1982,Mark L. Lester
1982,Tommy Lee Wallace
1982,Sidney Lumet
1982,Boaz Davidson
1982,Blake Edwards
1982,Clint Eastwood
1982,Tony Richardson
1982,Michael Miller
1982,Damiano Damiani
1982,Colin Higgins
1982,Robert J. Rosenthal
1982,Sidney Lumet
1982,Werner Herzog
1982,Michael Winner
1982,Don Coscarelli
1982,Terry Hughes
1982,Ian MacNaughton
1982,Cheung Yam-Yim
1982,Jules Bass
1982,"Arthur Rankin, Jr."
1982,Juan Piquer SimÃ³n
1982,George T. Miller
1982,Samuel Fuller
1982,Larry Cohen
1982,Martin Rosen
1982,Peter Greenaway
1982,Chang Cheh
1982,Brian Trenchard-Smith
1982,Slava Tsukerman
1982,Frank Henenlotter
1982,Richard Benjamin
1982,Hal Needham
1982,Barry Levinson
1982,Amy Holden Jones
1982,Clive Donner
1982,Allan Holzman
1982,Randal Kleiser
1982,Alan Clarke
1982,Joe Giannone
1982,Eldar Ryazanov
1983,Richard Marquand
1983,Brian De Palma
1983,Irvin Kershner
1983,John Glen
1983,Bob Clark
1983,Richard Lester
1983,John Landis
1983,John Badham
1983,Harold Ramis
1983,Joe Alves
1983,Terry Jones
1983,Terry Gilliam
1983,James L. Brooks
1983,Noel Black
1983,Clint Eastwood
1983,Paul Brickman
1983,Philip Kaufman
1983,Jim McBride
1983,Mel Damski
1983,Burny Mattinson
1983,Tommy Chong
1983,Tony Scott
1983,John Carpenter
1983,Francis Ford Coppola
1983,Bob Clark
1983,Roger Spottiswoode
1983,Carl Reiner
1983,Nicholas Meyer
1983,Lewis Teague
1983,Barbra Streisand
1983,John Badham
1983,David Cronenberg
1983,Martha Coolidge
1983,Michael Chapman
1983,Woody Allen
1983,Michael Apted
1983,Rafal Zielinski
1983,Adrian Lyne
1983,Mike Nichols
1983,Blake Edwards
1983,Dick Lowry
1983,Richard Fleischer
1983,John Landis
1983,Steven Spielberg
1983,George Miller
1983,Joe Dante
1983,Alan Johnson
1983,Lewis Gilbert
1983,Peter Yates
1983,Francis Ford Coppola
1983,Sylvester Stallone
1983,Steve Carver
1983,Lawrence Kasdan
1983,Richard Franklin
1983,Curtis Hanson
1983,Kenneth Johnson
1983,David Cronenberg
1983,John Herzfeld
